,features,feature_importance
0,TEST_ACCURACY,0.8252
144,theft,0.25593044241675295
141,stolen,0.11455813069287465
138,property,0.09468980977955317
120,entry,0.07436341962017085
35,category_SUSPICIOUS OCC,0.06717058909763549
129,malicious,0.06461806360449748
33,category_STOLEN PROPERTY,0.047359780657159754
28,category_ROBBERY,0.046453707966960134
4,category_ASSAULT,0.02576629700705095
130,mental,0.024253708388953146
115,closure,0.023148171118557256
111,building,0.019552858086106042
1,x,0.014757203978093627
0,time,0.014390467970891205
2,y,0.014274212633191454
23,category_NON-CRIMINAL,0.013124429812918389
136,petty,0.011416981922798558
107,auto,0.01056980194296624
